,timestamp_sec,position_x,position_y,heading
3090,32.152487993240356,586616.3870239999,4208093.3830389995,0.303672
3091,32.160765171051025,586616.415655,4208093.393835,0.30301999999999996
3092,32.16985201835632,586616.44426,4208093.404597,0.30238899999999996
3093,32.19191908836365,586616.472992,4208093.41536,0.301774
3094,32.192553997039795,586616.501606,4208093.425953,0.301176
3095,32.20052218437195,586616.530193,4208093.436509999,0.300571
3096,32.21665620803833,586616.5588479999,4208093.447048,0.299956
3097,32.22573208808899,586616.587675,4208093.457719,0.299321
3098,32.234745025634766,586616.616349,4208093.468333,0.298642
3099,32.24073791503906,586616.645051,4208093.478964,0.297926
3100,32.25681805610657,586616.6737439999,4208093.489542,0.297185
3101,32.26457905769348,586616.702462,4208093.500064,0.29643600000000003
3102,32.27280616760254,586616.730922,4208093.510512,0.29567
3103,32.280975103378296,586616.759358,4208093.520937,0.294898
3104,32.29021596908569,586616.7877979999,4208093.531299,0.294146
3105,32.3045539855957,586616.816292,4208093.5415779995,0.293365
3106,32.31254196166992,586616.844738,4208093.551933,0.292612
3107,32.32050704956055,586616.873208,4208093.562322,0.291825
3108,32.33694005012512,586616.901708,4208093.572696,0.291022
3109,32.34557318687439,586616.930268,4208093.582918,0.290246
3110,32.35366702079773,586616.958799,4208093.5932330005,0.28946900000000003
3111,32.36175298690796,586616.987291,4208093.60348,0.28870500000000004
3112,32.380906105041504,586617.015836,4208093.613605,0.287975
3113,32.38449311256409,586617.0443439999,4208093.623736,0.28726399999999996
3114,32.392476081848145,586617.072871,4208093.633851,0.28657
3115,32.40448498725891,586617.1013699999,4208093.643911,0.285901
3116,32.41000699996948,586617.12988,4208093.653886,0.28524499999999997
3117,32.42451000213623,586617.158426,4208093.663803,0.28462
3118,32.4324369430542,586617.186964,4208093.673758,0.283977
3119,32.44105100631714,586617.2155180001,4208093.6837059995,0.283342
3120,32.45758509635925,586617.244078,4208093.693641,0.282709
3121,32.4657518863678,586617.27261,4208093.703474,0.282088
3122,32.472875118255615,586617.301127,4208093.713381,0.28146
3123,32.48160719871521,586617.3296350001,4208093.723259999,0.28083400000000003
3124,32.49774503707886,586617.3581600001,4208093.73312,0.280225
3125,32.50439214706421,586617.386615,4208093.742916999,0.279604
3126,32.51387596130371,586617.415091,4208093.752764,0.278989
3127,32.521470069885254,586617.4435449999,4208093.762597,0.27836500000000003
3128,32.52991700172424,586617.472017,4208093.772417,0.277744
